epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.0775,1.14033,3.54422,1.31969,0.02395,0.33676,0.15809,0.07751,1.00575,3.62463,1.19224,4e-05,4e-05,4e-05
2,54.591,1.23031,3.42431,1.34143,0.03789,0.40628,0.23202,0.13478,1.01286,3.55181,1.13656,8.9109e-05,8.9109e-05,8.9109e-05
3,80.5546,1.03732,3.15588,1.22259,0.05087,0.4583,0.28595,0.16609,1.03191,3.48393,1.12364,0.000137228,0.000137228,0.000137228
4,104.41,1.02991,2.87397,1.24947,0.06355,0.56758,0.3188,0.1928,1.01323,3.40865,1.11205,0.000184357,0.000184357,0.000184357
5,128.537,0.99094,2.44304,1.21059,0.08098,0.61889,0.37256,0.2368,1.04418,3.27406,1.11363,0.000230496,0.000230496,0.000230496
6,155.799,0.95867,2.38223,1.25815,0.08636,0.59389,0.36183,0.23348,1.08211,3.185,1.1394,0.000275645,0.000275645,0.000275645
7,180.515,1.00348,2.122,1.23721,0.0966,0.61232,0.3558,0.22463,1.13227,3.11101,1.16323,0.000319804,0.000319804,0.000319804
8,205.316,0.98935,1.96848,1.21438,0.78055,0.33737,0.36821,0.23378,1.18519,2.95041,1.19496,0.000362973,0.000362973,0.000362973
9,229.705,1.04992,2.00655,1.24664,0.76073,0.27356,0.30671,0.19527,1.25023,2.55632,1.28445,0.000405152,0.000405152,0.000405152
10,253.82,1.12576,1.70337,1.28162,0.73996,0.27018,0.31235,0.20607,1.19721,2.49628,1.247,0.000446341,0.000446341,0.000446341
11,280.117,0.94937,1.63363,1.19551,0.7414,0.34133,0.34112,0.23116,1.21837,2.23723,1.23556,0.00048654,0.00048654,0.00048654
12,305.279,1.07884,1.65041,1.29178,0.76391,0.3358,0.35381,0.23264,1.2572,2.20109,1.26131,0.000525749,0.000525749,0.000525749
13,329.675,1.12475,1.63553,1.37021,0.78051,0.32253,0.35065,0.22806,1.26258,2.25618,1.24598,0.000563968,0.000563968,0.000563968
14,357.27,1.04454,1.52922,1.2533,0.79062,0.32772,0.38483,0.25908,1.24656,2.11582,1.27429,0.000601197,0.000601197,0.000601197
15,385.644,1.23257,1.63507,1.40865,0.81397,0.35312,0.40488,0.26175,1.31011,1.97846,1.34114,0.000637436,0.000637436,0.000637436
16,415.206,1.01751,1.3618,1.23072,0.77288,0.39015,0.41153,0.2657,1.30959,1.90068,1.36298,0.000672685,0.000672685,0.000672685
17,445.698,1.08525,1.3908,1.33571,0.7219,0.36085,0.35277,0.21364,1.40261,2.14667,1.46748,0.000706944,0.000706944,0.000706944
18,474.42,1.12422,2.15262,1.59677,0.75594,0.36795,0.39413,0.24269,1.37044,2.07647,1.41562,0.000740213,0.000740213,0.000740213
