epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.2029,1.19337,3.50722,1.34573,0.02024,0.38652,0.15422,0.09157,1.01017,3.59036,1.17928,4e-05,4e-05,4e-05
2,58.228,1.17793,3.45769,1.30162,0.03162,0.40141,0.2015,0.11814,1.05395,3.5534,1.16809,8.9109e-05,8.9109e-05,8.9109e-05
3,81.9353,1.02215,3.31417,1.22699,0.06105,0.42151,0.26697,0.15913,1.07327,3.5093,1.14778,0.000137228,0.000137228,0.000137228
4,107.051,1.01979,3.246,1.24303,0.05383,0.44286,0.29987,0.19101,1.02729,3.4728,1.11313,0.000184357,0.000184357,0.000184357
5,128.881,0.96249,3.12177,1.17886,0.06045,0.59358,0.33186,0.21728,0.99202,3.44446,1.09223,0.000230496,0.000230496,0.000230496
6,152.482,0.89509,2.97862,1.21819,0.05304,0.59938,0.34306,0.22389,1.00426,3.41618,1.09968,0.000275645,0.000275645,0.000275645
7,176.876,0.96766,2.84247,1.18501,0.04929,0.65505,0.34139,0.22792,1.03053,3.37064,1.10412,0.000319804,0.000319804,0.000319804
8,199.054,0.91842,2.76385,1.16996,0.04474,0.63119,0.32082,0.21445,1.04178,3.35522,1.13404,0.000362973,0.000362973,0.000362973
9,224.086,1.01133,2.67938,1.23915,0.04254,0.54346,0.367,0.2385,1.07121,3.31126,1.1504,0.000405152,0.000405152,0.000405152
10,250.126,1.09774,2.38631,1.25704,0.04231,0.6309,0.40289,0.25239,1.10711,3.2156,1.19029,0.000446341,0.000446341,0.000446341
11,275.888,0.98344,2.15963,1.21361,0.99309,0.09044,0.4323,0.28594,1.13495,3.01818,1.21107,0.00048654,0.00048654,0.00048654
12,300.694,1.11142,2.24152,1.31676,0.95174,0.12652,0.42197,0.28858,1.15215,2.88633,1.24633,0.000525749,0.000525749,0.000525749
13,325.058,1.17261,2.1009,1.36028,0.92647,0.15795,0.41485,0.28598,1.1852,2.85535,1.25689,0.000563968,0.000563968,0.000563968
14,348.492,1.07972,1.91111,1.28971,0.90927,0.18271,0.3971,0.25984,1.29055,2.83705,1.3315,0.000601197,0.000601197,0.000601197
15,372.304,1.20577,2.03294,1.38976,0.87384,0.25251,0.36218,0.21634,1.40235,2.74263,1.37057,0.000637436,0.000637436,0.000637436
16,396.881,1.09274,1.70012,1.26904,0.89568,0.28372,0.37632,0.24382,1.40925,2.63051,1.37325,0.000672685,0.000672685,0.000672685
17,421.433,1.19665,1.60993,1.38827,0.88203,0.33466,0.3831,0.24751,1.42887,2.383,1.42383,0.000706944,0.000706944,0.000706944
18,444.838,1.64768,3.05098,2.11784,0.83845,0.32899,0.39391,0.24536,1.41309,2.34041,1.44152,0.000740213,0.000740213,0.000740213
19,469.11,1.07391,1.52699,1.32671,0.76053,0.34634,0.38494,0.233,1.47053,2.41812,1.48168,0.000772492,0.000772492,0.000772492
20,493.777,1.05438,1.49626,1.25079,0.59798,0.40905,0.45087,0.28006,1.33398,2.14232,1.41817,0.000803781,0.000803781,0.000803781
21,516.907,1.05983,1.51619,1.26914,0.68726,0.49398,0.48798,0.29967,1.3302,2.03994,1.41939,0.000802,0.000802,0.000802
22,539.478,1.0197,1.5936,1.31258,0.74407,0.47864,0.49306,0.31119,1.32945,1.91874,1.44401,0.0007921,0.0007921,0.0007921
23,565.206,0.98103,1.46905,1.24003,0.77696,0.43286,0.45861,0.29319,1.35163,1.95883,1.47405,0.0007822,0.0007822,0.0007822
24,589.614,1.68695,3.42825,1.86721,0.73565,0.42974,0.46443,0.28582,1.3807,1.96145,1.44702,0.0007723,0.0007723,0.0007723
25,613.325,1.03859,1.31456,1.21655,0.6362,0.48421,0.50684,0.31913,1.33876,1.83248,1.44787,0.0007624,0.0007624,0.0007624
26,635.235,0.96831,1.3263,1.24425,0.61911,0.51769,0.53112,0.31932,1.29562,1.79198,1.43995,0.0007525,0.0007525,0.0007525
27,659.056,1.1645,1.61327,1.43763,0.6149,0.52371,0.5038,0.29966,1.28708,1.91943,1.4682,0.0007426,0.0007426,0.0007426
28,682.196,0.92746,1.18557,1.2183,0.78691,0.42539,0.50524,0.31769,1.2803,1.99188,1.43159,0.0007327,0.0007327,0.0007327
29,707.661,0.9576,1.43345,1.22335,0.81358,0.54354,0.56326,0.36869,1.236,1.73423,1.39162,0.0007228,0.0007228,0.0007228
30,730.944,0.9111,1.20407,1.20828,0.8439,0.53619,0.57392,0.38226,1.24413,1.64043,1.37964,0.0007129,0.0007129,0.0007129
31,754.743,0.94123,1.10664,1.21075,0.66114,0.57679,0.53563,0.35632,1.28879,1.7008,1.39958,0.000703,0.000703,0.000703
32,778.091,0.95881,1.21303,1.26504,0.79217,0.56062,0.6026,0.36355,1.35113,1.6702,1.44307,0.0006931,0.0006931,0.0006931
33,802.948,0.83675,1.05354,1.14597,0.8251,0.55715,0.59763,0.38057,1.34716,1.61416,1.45195,0.0006832,0.0006832,0.0006832
